Number	text_title	text_author	text_year	Left_Context	Keyword	Right_Context	tagA
   107021	Verbrechen aus Ehrsucht. Ein ernsthaftes Familiengemählde in fünf Aufzügen	August Wilhelm Iffland	1787	- ich muß	Resolution	habe ? O weh	Resolution
   107208	Verbrechen aus Ehrsucht. Ein ernsthaftes Familiengemählde in fünf Aufzügen	August Wilhelm Iffland	1787	y der Justiz	Seßion	ist ? Ich bit	Session
   109567	Evander und Alcimna	Salomon Gessner	1762	, da sah ich	Asphalion	, den Fischer	Asphalion
   110708	Evander und Alcimna	Salomon Gessner	1762	chiff , von denen	Asphalion	sagte , haben	Asphalion
   111333	Die Räuber	Friedrich Schiller	1781	hlich immer ein	Spion	der Hoͤlle mei	Spion
   121366	Der Lobwürdigen Hoch Fürstl: Stadt und Stifts Ratseburg/ Glaub- und Besähewährte Merkwürdigkeit/ [...]	Kunrat von Hövelen	1667	in die ganze	Passion	 ist ein tre	Passion
   123197	Unvorgreiffliches Bedencken von Kunst- und Naturalien-Kammern ins gemein	Johann Daniel Major	1674	und curioͤser	Disposition	das geringste M	Disposition
   123257	Unvorgreiffliches Bedencken von Kunst- und Naturalien-Kammern ins gemein	Johann Daniel Major	1674	tirung und	Situation	gegen einander	Situation
   123536	Unvorgreiffliches Bedencken von Kunst- und Naturalien-Kammern ins gemein	Johann Daniel Major	1674	isch muͤssigen	Speculation	, und blossen	Spekulation
   123800	Unvorgreiffliches Bedencken von Kunst- und Naturalien-Kammern ins gemein	Johann Daniel Major	1674	icht  und	Disposition	das gantze Gemach	Disposition
   124116	Unvorgreiffliches Bedencken von Kunst- und Naturalien-Kammern ins gemein	Johann Daniel Major	1674	t Staffel zur	Confusion	und kuͤnfftiger	Konfusion
   124186	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSEROSETUM HISTORIARUM. Das ist: Historischer Rosengarten/ [...]	Matthäus Hammer	1654	t haben .	Religion	der Jüden . DI	Religion
   124247	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSEROSETUM HISTORIARUM. Das ist: Historischer Rosengarten/ [...]	Matthäus Hammer	1654	lisch Christen .	Religion	der Türken .	Religion
   124320	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSEROSETUM HISTORIARUM. Das ist: Historischer Rosengarten/ [...]	Matthäus Hammer	1654	r Ankunft und	Religion	betrifft  i	Religion
   125285	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSEROSETUM HISTORIARUM. Das ist: Historischer Rosengarten/ [...]	Matthäus Hammer	1654	@ 29. Maii .	Religion	der Griechen .	Religion
   125437	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSEROSETUM HISTORIARUM. Das ist: Historischer Rosengarten/ [...]	Matthäus Hammer	1654	on Zimmern .	Religion	der Moren . DI	Religion
   125522	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSEROSETUM HISTORIARUM. Das ist: Historischer Rosengarten/ [...]	Matthäus Hammer	1654	 sich .	Religion	der Moskowiter	Religion
   125530	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSEROSETUM HISTORIARUM. Das ist: Historischer Rosengarten/ [...]	Matthäus Hammer	1654	witer halten die	Religion	wie die Griechen	Religion
   125617	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSEROSETUM HISTORIARUM. Das ist: Historischer Rosengarten/ [...]	Matthäus Hammer	1654	ke keine Uhr .	Religion	der Tartarn .	Religion
   125670	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSEROSETUM HISTORIARUM. Das ist: Historischer Rosengarten/ [...]	Matthäus Hammer	1654	cra recusant .	Religion	der Armenianer	Religion
   125678	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSEROSETUM HISTORIARUM. Das ist: Historischer Rosengarten/ [...]	Matthäus Hammer	1654	er halten ihre	Religion	gleich wie di	Religion
   125698	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSEROSETUM HISTORIARUM. Das ist: Historischer Rosengarten/ [...]	Matthäus Hammer	1654	lochten hätten .	Religion	der Persianer	Religion
   125799	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSEROSETUM HISTORIARUM. Das ist: Historischer Rosengarten/ [...]	Matthäus Hammer	1654	 gelebt .	Religion	der Heiden . M	Religion
   126761	Kurtzer Bericht vom Politischen Näscher/ [...]	Christian Weise	1680	oder die beste	Recommendation	von Doktor Sc	Recommendation
   126898	Kurtzer Bericht vom Politischen Näscher/ [...]	Christian Weise	1680	derbnis der besten	Invention	zu gewarten	Invention
   127051	Kurtzer Bericht vom Politischen Näscher/ [...]	Christian Weise	1680	 und nur die	Affektion	erweisen : al	Affektion
   127405	Kurtzer Bericht vom Politischen Näscher/ [...]	Christian Weise	1680	sonderlich wen die	Allusion	auf eine gewisse	Allusion
   128001	Kurtzer Bericht vom Politischen Näscher/ [...]	Christian Weise	1680	. Die einzige	Deskription	, oder wie si	Deskription
   130598	Christen-Stat [...]	Veit Ludwig von Seckendorff	1685	n und heiligen	Communion	 durch Geniessu	Kommunion
   130748	Christen-Stat [...]	Veit Ludwig von Seckendorff	1685	Nahrung nach	situation	der Laͤnder und	Situation
   135258	Deä Hochlöblichen Hertzogthums Crain Topographisch-Historische Beschreibung Zwölfftes Buch	Johann Weikhard von Valvasor	1689	ein Steuer und	Contribution	frey  so wol	Kontribution
   135290	Deä Hochlöblichen Hertzogthums Crain Topographisch-Historische Beschreibung Zwölfftes Buch	Johann Weikhard von Valvasor	1689	d Catholischen	Religion	 theils aber	Religion
   135306	Deä Hochlöblichen Hertzogthums Crain Topographisch-Historische Beschreibung Zwölfftes Buch	Johann Weikhard von Valvasor	1689	euer  noch	Contribution	; lassen sich	Kontribution
   139981	Neu-Eröffnete Anmuthiger BIlder SChatz/ Jnn Theologischen/ Moralischen Historischen/ Politischen/ Chim- und Alchimistischen Erläuterungen/ [...]	Gustav Adolf Hiltebrandt	1674	, und ihme die	Supplication	in seine eigene	Supplication
   140008	Neu-Eröffnete Anmuthiger BIlder SChatz/ Jnn Theologischen/ Moralischen Historischen/ Politischen/ Chim- und Alchimistischen Erläuterungen/ [...]	Gustav Adolf Hiltebrandt	1674	rst hat diese	Supplication	seinen Raͤthen	Supplication
   140596	Neu-Eröffnete Anmuthiger BIlder SChatz/ Jnn Theologischen/ Moralischen Historischen/ Politischen/ Chim- und Alchimistischen Erläuterungen/ [...]	Gustav Adolf Hiltebrandt	1674	d auff gewisse	Conditionen	loß gelassen	Kondition
   140607	Neu-Eröffnete Anmuthiger BIlder SChatz/ Jnn Theologischen/ Moralischen Historischen/ Politischen/ Chim- und Alchimistischen Erläuterungen/ [...]	Gustav Adolf Hiltebrandt	1674	ng  die	Conditionen	nicht halten	Kondition
   140824	Neu-Eröffnete Anmuthiger BIlder SChatz/ Jnn Theologischen/ Moralischen Historischen/ Politischen/ Chim- und Alchimistischen Erläuterungen/ [...]	Gustav Adolf Hiltebrandt	1674	wuͤrdē . Die	Condition	des Kaͤmpffens	Kondition
   143946	Unparteyische Kirchen-Ketzer-Historie/ von Anfang des Neuen Testaments biß auff das Jahr CHristi 1688.	Gottfried Arnold	1699	chdem es mit der	communion	den anfang geno	Kommunion
   144274	Unparteyische Kirchen-Ketzer-Historie/ von Anfang des Neuen Testaments biß auff das Jahr CHristi 1688.	Gottfried Arnold	1699	wähnen  und die	relationen	kuͤrtzlich du	Relation
   144932	Unparteyische Kirchen-Ketzer-Historie/ von Anfang des Neuen Testaments biß auff das Jahr CHristi 1688.	Gottfried Arnold	1699	h so vielerle	relationen	und gemeine s	Relation
   146016	Musurgia Universalis	Athanasius Kircher	1662	  welche	Proportion	wann ein Mensch	Proportion
   146119	Musurgia Universalis	Athanasius Kircher	1662	sten keine	Commotion	von sich V	Commotion
   146301	Musurgia Universalis	Athanasius Kircher	1662	 jemand die	Proportion	wissen sollte	Proportion
   146417	Musurgia Universalis	Athanasius Kircher	1662	s , aus dieser	coition	die Forcht 	coition
   148033	Musurgia Universalis	Athanasius Kircher	1662	intentionales keiner	Impression	fähig sind	Impression
   148618	Betrachtung/ Der Um ihre Seeligkeit Höchst-BekümAMPERSAND#772;erten und Sorgfältigen Seelen	Johann Heinrich Weihenmayer	1686	ich die wahre	Religion	verlaͤugnett	Religion
   150575	MYTHOSCOPIA ROMANTICA: oder DISCOURS Von den so benanten ROMANS	Gotthard Heidegger	1698	Messaline d'	Albion	, Liebesgeschicht	Albion
   151692	MYTHOSCOPIA ROMANTICA: oder DISCOURS Von den so benanten ROMANS	Gotthard Heidegger	1698	nderlich die	Intercession	, so vor ihn	Intercession
   152863	MYTHOSCOPIA ROMANTICA: oder DISCOURS Von den so benanten ROMANS	Gotthard Heidegger	1698	ngeschohene	Conversation	trieben . Æne	Konversation
   152932	MYTHOSCOPIA ROMANTICA: oder DISCOURS Von den so benanten ROMANS	Gotthard Heidegger	1698	d naͤchtliche	Kammer-Visitation	verrichtet 	Kammer-Visitation
   154280	Cimbrisch-Hollsteinische ANTIQUITAMPERSAND#198;TEN-REMARQUES	Christian Detlev Rhode	1720	ricanischen	Nationen	vor vielen hund	Nation
   154528	Cimbrisch-Hollsteinische ANTIQUITAMPERSAND#198;TEN-REMARQUES	Christian Detlev Rhode	1720	dischen	Nationen	 die auff gleic	Nation
   155179	Cimbrisch-Hollsteinische ANTIQUITAMPERSAND#198;TEN-REMARQUES	Christian Detlev Rhode	1720	ollen  weil die	Relation	verschiedene	Relation
   155322	Cimbrisch-Hollsteinische ANTIQUITAMPERSAND#198;TEN-REMARQUES	Christian Detlev Rhode	1720	ch andern	Nationen	mehr im Schwange	Nation
   156619	Historische Beschreibung Der Weltberühmten Vestung Königstein/ [...]	Christian Heckel	1737	ricanischen	Nationen	vor vielen hund	Nation
   156867	Historische Beschreibung Der Weltberühmten Vestung Königstein/ [...]	Christian Heckel	1737	dischen	Nationen	 die auff gleic	Nation
   157518	Historische Beschreibung Der Weltberühmten Vestung Königstein/ [...]	Christian Heckel	1737	ollen  weil die	Relation	verschiedene	Relation
   157661	Historische Beschreibung Der Weltberühmten Vestung Königstein/ [...]	Christian Heckel	1737	ch andern	Nationen	mehr im Schwange	Nation
   158033	Eine Abhandlung Von den Musicalischen Intervallen Und Geschlechten	Johann Adolph Scheibe	1739	musicalische	Composition	siehet . §.	Komposition
   161567	Kurtze Beschreibung Des zum theil liederlichen Lebens und Wandels Derer anjetzo in grossen Städten sich befindenden Dienst-Mägde, [...]	Marforius	1717	 gehaltener	visitation	das rechte Spiel	Visitation
   162482	Grosses vollständiges UNIVERSAL-LEXICON	Johann Heinrich Zedler	1729	ingegen eine	Aversion	gegen diejenigen	Aversion
   162508	Grosses vollständiges UNIVERSAL-LEXICON	Johann Heinrich Zedler	1729	 dergleichen	Adversion	in uns entstehet	Adversion
   169677	ATTRforeign xml:lang=latATTR_CLOSECENTI-FOLIUM STULTORUM In QUARTO. Oder Hundert Ausbündige Narren/ In FOLIO. [...]	Abraham a Sancta Clara	1707	Verdacht und	Suspicion	will kommen	Suspicion
   171455	ATTRforeign xml:lang=latATTR_CLOSECENTI-FOLIUM STULTORUM In QUARTO. Oder Hundert Ausbündige Narren/ In FOLIO. [...]	Abraham a Sancta Clara	1707	n die eigene	Passion	oder herrschende	Passion
   172967	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSESVPPLEMENTA Zu dem Haylßbronnischen ATTRhi rend=antiqua ATTR_CLOSEAntiquitäten-Schatz	Johann Ludwick Hocker	1731	auf konvenable	Kondition	zum Druck gebe	Kondition
   173262	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSESVPPLEMENTA Zu dem Haylßbronnischen ATTRhi rend=antiqua ATTR_CLOSEAntiquitäten-Schatz	Johann Ludwick Hocker	1731	geheuchelte	Adprobation	zu erhalten	Adprobation
   173563	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSESVPPLEMENTA Zu dem Haylßbronnischen ATTRhi rend=antiqua ATTR_CLOSEAntiquitäten-Schatz	Johann Ludwick Hocker	1731	rt hegender	Tradition	zu trauen ,	Tradition
   173724	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSESVPPLEMENTA Zu dem Haylßbronnischen ATTRhi rend=antiqua ATTR_CLOSEAntiquitäten-Schatz	Johann Ludwick Hocker	1731	ibt , ist eine	Tradition	, davon sich	Tradition
   173853	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSESVPPLEMENTA Zu dem Haylßbronnischen ATTRhi rend=antiqua ATTR_CLOSEAntiquitäten-Schatz	Johann Ludwick Hocker	1731	m : von	Innocention	III. Ao. 1207.	Innocention
   174246	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSESVPPLEMENTA Zu dem Haylßbronnischen ATTRhi rend=antiqua ATTR_CLOSEAntiquitäten-Schatz	Johann Ludwick Hocker	1731	Ursprung und	Derivation	in unserer eige	Derivation
   179398	Geschichte und Thaten Herrn Samuel des H. R. Reichs Grafen von Schmettau, [...]	Samuel von Schmettau	1748	er wichtigen	Operation	schreiten konn	Operation
   179573	Geschichte und Thaten Herrn Samuel des H. R. Reichs Grafen von Schmettau, [...]	Samuel von Schmettau	1748	ede hatten dessen	Fortifikation	sehr verbessert	Fortifikation
   179586	Geschichte und Thaten Herrn Samuel des H. R. Reichs Grafen von Schmettau, [...]	Samuel von Schmettau	1748	en , so die	Kommunikation	mit Stralsund	Kommunikation
   179927	Geschichte und Thaten Herrn Samuel des H. R. Reichs Grafen von Schmettau, [...]	Samuel von Schmettau	1748	 , und die	Kommunikation	des Dänischen	Kommunikation
   180359	Geschichte und Thaten Herrn Samuel des H. R. Reichs Grafen von Schmettau, [...]	Samuel von Schmettau	1748	eren . Die ganze	Direktion	der Entreprise	Direktion
   180635	Geschichte und Thaten Herrn Samuel des H. R. Reichs Grafen von Schmettau, [...]	Samuel von Schmettau	1748	anone , samt der	Ammunition	und dem Lager	Ammunition
   181045	Geschichte und Thaten Herrn Samuel des H. R. Reichs Grafen von Schmettau, [...]	Samuel von Schmettau	1748	m desto bessere	Disposition	zu machen Hern	Disposition
   181357	Geschichte und Thaten Herrn Samuel des H. R. Reichs Grafen von Schmettau, [...]	Samuel von Schmettau	1748	m er eine	Contusion	, von einer ma	Contusion
   182169	Critische Abhandlung von dem Wunderbaren in der Poesie und dessen Verbindung mit dem Wahrscheinlichen	Johann Jacob Bodmer	1740	tums haben ihre	Religion	damit zu entsch	Religion
   182277	Critische Abhandlung von dem Wunderbaren in der Poesie und dessen Verbindung mit dem Wahrscheinlichen	Johann Jacob Bodmer	1740	hlgezogenen	Nationen	, in etlichen	Nation
   182334	Critische Abhandlung von dem Wunderbaren in der Poesie und dessen Verbindung mit dem Wahrscheinlichen	Johann Jacob Bodmer	1740	t einer solchen	Nation	schon genug	Nation
   182445	Critische Abhandlung von dem Wunderbaren in der Poesie und dessen Verbindung mit dem Wahrscheinlichen	Johann Jacob Bodmer	1740	d christlichen	Nationen	koͤnnen gebrauc	Nation
   182541	Critische Abhandlung von dem Wunderbaren in der Poesie und dessen Verbindung mit dem Wahrscheinlichen	Johann Jacob Bodmer	1740	aͤndern , und	Religionen	aufzufuͤhren	Religion
   182580	Critische Abhandlung von dem Wunderbaren in der Poesie und dessen Verbindung mit dem Wahrscheinlichen	Johann Jacob Bodmer	1740	aͤssige	Religion	ansehen wuͤrde	Religion
   182639	Critische Abhandlung von dem Wunderbaren in der Poesie und dessen Verbindung mit dem Wahrscheinlichen	Johann Jacob Bodmer	1740	 und deren	Nationen	, die sich	Nation
   182671	Critische Abhandlung von dem Wunderbaren in der Poesie und dessen Verbindung mit dem Wahrscheinlichen	Johann Jacob Bodmer	1740	r heidnischen	Nationen	, in welcher	Nation
   182679	Critische Abhandlung von dem Wunderbaren in der Poesie und dessen Verbindung mit dem Wahrscheinlichen	Johann Jacob Bodmer	1740	eser falschen	Religion	so vielen Anthei	Religion
   182846	Critische Abhandlung von dem Wunderbaren in der Poesie und dessen Verbindung mit dem Wahrscheinlichen	Johann Jacob Bodmer	1740	thologischen	Religion	eingefuͤhret	Religion
   183394	Critische Abhandlung von dem Wunderbaren in der Poesie und dessen Verbindung mit dem Wahrscheinlichen	Johann Jacob Bodmer	1740	unsrer wahren	Religion	den homerischen	Religion
   183477	Critische Abhandlung von dem Wunderbaren in der Poesie und dessen Verbindung mit dem Wahrscheinlichen	Johann Jacob Bodmer	1740	uͤgenhaften	Religion	mit der Mythologie	Religion
   183497	Critische Abhandlung von dem Wunderbaren in der Poesie und dessen Verbindung mit dem Wahrscheinlichen	Johann Jacob Bodmer	1740	rn auch unsrer	Religion	eben so sehr	Religion
   183518	Critische Abhandlung von dem Wunderbaren in der Poesie und dessen Verbindung mit dem Wahrscheinlichen	Johann Jacob Bodmer	1740	miltonischen	Illusionen	auf die heidnische	Illusion
   183590	Critische Abhandlung von dem Wunderbaren in der Poesie und dessen Verbindung mit dem Wahrscheinlichen	Johann Jacob Bodmer	1740	rsonen , derer	Religion	sie ausmachen	Religion
   186655	              Probe und Muster Pfältzischer Alterthümer, Oder: Die von Altershero           starck Bevölckerte Pfaltz, [...]	NA	1744	als eine alte	Tradition	heisset : Es	Tradition
   189334	Kreuzzüge des Philologen	Johann Georg Hamann	1762	anzösischen	Nation	aus den Eigenschaf	Nation
   190088	Kreuzzüge des Philologen	Johann Georg Hamann	1762	d natürlichen	Religion	annimmt , zum	Religion
   190968	Kreuzzüge des Philologen	Johann Georg Hamann	1762	ung seufzet die	Religion	; man beschuldigt	Religion
   192141	Abhandlung über den Ursprung der Sprache	Johann Gottfried Herder	1772	alsprache in jeder	Nation	- ich kann	Nation
   192378	Abhandlung über den Ursprung der Sprache	Johann Gottfried Herder	1772	in natürliche	Produktion	des Menschlichen	Produktion
   192558	Abhandlung über den Ursprung der Sprache	Johann Gottfried Herder	1772	ensprache in einer	Nation	. Die Trennung	Nation
   192566	Abhandlung über den Ursprung der Sprache	Johann Gottfried Herder	1772	abgesonderte	Nationen	geht gewiß	Nation
   193394	Abhandlung über den Ursprung der Sprache	Johann Gottfried Herder	1772	nd auch nur	Abstraktionen	, nicht Trennung	Abstraktion
   193594	Abhandlung über den Ursprung der Sprache	Johann Gottfried Herder	1772	, was so viel	Nationen	aller Weltteile	Nation
   195797	Über den Umgang mit Menschen	Adolph Freiherr von Knigge	1788	recklich Scenen ,	Executionen	, Operationen	Exekution
   195799	Über den Umgang mit Menschen	Adolph Freiherr von Knigge	1788	Executionen ,	Operationen	, Wunden und	Operation
   197023	Versuch über den Roman	Friedrich Blanckenburg	1774	verschiedenen	Nationen	gehabt hat ,	Nation
   198219	Versuch über den Roman	Friedrich Blanckenburg	1774	nrichtung ,	Religion	, Sitten und	Religion
   198987	Von AMPERSAND#196;hnlichkeit der mittlern englischen und deutschen Dichtkunst, nebst Verschiednem, das daraus folget	Johann Gottfried Herder	1777	n der Stamm der	Nazion	an Sprache un	Nation
   199786	Von AMPERSAND#196;hnlichkeit der mittlern englischen und deutschen Dichtkunst, nebst Verschiednem, das daraus folget	Johann Gottfried Herder	1777	eneas andern	Nazionen	? Noch bei Ha	Nation
   200214	Von AMPERSAND#196;hnlichkeit der mittlern englischen und deutschen Dichtkunst, nebst Verschiednem, das daraus folget	Johann Gottfried Herder	1777	lich beyde	Nazionen	in diesen Grunda	Nation
   200270	Von AMPERSAND#196;hnlichkeit der mittlern englischen und deutschen Dichtkunst, nebst Verschiednem, das daraus folget	Johann Gottfried Herder	1777	 Wendung ,	Inversion	gegen Inversion	Inversion
   200272	Von AMPERSAND#196;hnlichkeit der mittlern englischen und deutschen Dichtkunst, nebst Verschiednem, das daraus folget	Johann Gottfried Herder	1777	ion gegen	Inversion	uͤbertragen	Inversion
   200915	Von AMPERSAND#196;hnlichkeit der mittlern englischen und deutschen Dichtkunst, nebst Verschiednem, das daraus folget	Johann Gottfried Herder	1777	bewies , der	Nazion	lieb und theuer	Nation
   201049	Von AMPERSAND#196;hnlichkeit der mittlern englischen und deutschen Dichtkunst, nebst Verschiednem, das daraus folget	Johann Gottfried Herder	1777	t unter die	Nazion	gekommen : Der	Nation
   201090	Von AMPERSAND#196;hnlichkeit der mittlern englischen und deutschen Dichtkunst, nebst Verschiednem, das daraus folget	Johann Gottfried Herder	1777	f dem Stamm der	Nazion	gewachsen waͤre	Nation
   201096	Von AMPERSAND#196;hnlichkeit der mittlern englischen und deutschen Dichtkunst, nebst Verschiednem, das daraus folget	Johann Gottfried Herder	1777	en andre	Nazionen	mit den Jahrhunder	Nation
   201178	Von AMPERSAND#196;hnlichkeit der mittlern englischen und deutschen Dichtkunst, nebst Verschiednem, das daraus folget	Johann Gottfried Herder	1777	ener fremder	Nazionen	, ihre Schicksalse	Nation
   207641	Schreiben an Herrn Anton Pons	Anton Raphael Meng	1778	Gezwungenen , oder	Affektation	, die bey der	Affektation
   208122	Schreiben an Herrn Anton Pons	Anton Raphael Meng	1778	er Grad der	Affektation	, dem man es	Affektation
   209261	Beschreibung entdeckter Alterthümer in Deutschland	Bernhard Friedrich Hummel, edited by Christian Friedrich Carl Hummel	1792	n antiquitt .	Septentrion	. pag. 44.	Septentrion
   209299	Beschreibung entdeckter Alterthümer in Deutschland	Bernhard Friedrich Hummel, edited by Christian Friedrich Carl Hummel	1792	d Cimbrischen	Heidenreligion	. I Th. S. 1	Heidenreligion
   209485	Beschreibung entdeckter Alterthümer in Deutschland	Bernhard Friedrich Hummel, edited by Christian Friedrich Carl Hummel	1792	n antiquitt ,	Septentrion	. pag. 44.	Septentrion
   209495	Beschreibung entdeckter Alterthümer in Deutschland	Bernhard Friedrich Hummel, edited by Christian Friedrich Carl Hummel	1792	Groͤsse und	Disproportion	mag dieser S	Disproportion
   212177	Von deutscher Baukunst	Johann Wolfgang von Goethe	1772	ß sich zur	Region	der Wahrheit	Region
   212505	Von deutscher Baukunst	Johann Wolfgang von Goethe	1772	nd Aesten ,	Millionen	Zweigen , und	Million
   223677	Über naive und sentimentalische Dichtung	Friedrich Schiller	1795	issen und	Situationen	mit dem Anblick	Situation
   223738	Über naive und sentimentalische Dichtung	Friedrich Schiller	1795	, daß weder	Affektation	, noch sonst	Affektation
