Number	Left_Context	Keyword	Right_Context
  7035495:	  Georg Erttel in Dresden , der Laufschmied Franz Ruef in Ellwangen , Elias Schinzel in Berlin , Johann Sommer in 	Bamberg	 . Um 1690 arbeitete Johann Steinweg zu München und der auch als Eisenschneider berühmte Armand Bongarde um 1700 in Düsseldorf
  7154644:	  ; -setzer 1052 ; -sterzel 127 , 131 , 135 . Balling 662 . Ballonakil 1243 . Balve 816 . 	Bamberg	 469 , 912 . Bandeisen 1000 . Bann 605 . Banner , General 1102 . Barba , Alb. Alonso 915
  7502032:	  und Wunsiedler Werke Arzberger Steine setzten . Der Absatz war , auſser dem inländischen Bedarf , besonders nach Nürnberg , 	Bamberg	 , Würzburg u. s. w. Im Nailaer und Wunsiedler Revier waren damals 30000 Seidel Eisenstein verkauft worden , welche ebensoviel
  7624274:	  , I. , S. 412. Es war sehr gewöhnlich , zwei Hochöfen nebeneinander in ein gemeinschaftliches Rauhgemäuer — in einen 	Korpus	 , wie man sich ausdrückte — zu bauen . Dieser Korpus war erst auf einem Pfahlwerk von eingerammten Pfosten errichtet
  7624285:	  Hochöfen nebeneinander in ein gemeinschaftliches Rauhgemäuer — in einen Korpus , wie man sich ausdrückte — zu bauen . Dieser 	Korpus	 war erst auf einem Pfahlwerk von eingerammten Pfosten errichtet . Die Hauptabzucht war ein hoher und breiter viereckiger Kanal von
  7709383:	  mit einem Holzaufwand von 29544 Klafter . Der gröſste Teil der Produktion ging auſser Land , besonders nach Nürnberg , 	Bamberg	 und Würzburg . S. Neues Journal für Fabriken u. s. w. 1810 , Bd. IV , S. 140 . Schweden
  8474963:	  ers mit Fug unter ſeinen Rock geſteckt / er haͤtte drum zu ſprechen . Alſo / wenn der Biſchoff von 	Bamberg	 nicht geſtatten wil / daß die Froͤhner ſeines Biſtumbs / wenn ſie Miſt gezoͤtet / nicht ſollen iedweder ſoviel /
 10463218:	  wohl machen , ich aber nicht . “ II . Der zögernde Beitritt der deutſchen Mittelſtaaten , die ſich in 	Bamberg	 berathen hatten , zu dem Vertrage vom 20. April , die Bemühungen des Grafen Buol , einen Kriegsfall zu ſchaffen
 10501370:	  Levinſtein abgebrochen hatte , wurden wiederholt Verſuche gemacht , daſſelbe wieder in Gang zu bringen , namentlich von dem Conſul 	Bamberg	 in Paris , der mehrmals zu mir kam und mir Vorwürfe darüber machte , daß ich einen „ ſo ausgezeichneten
 12885977:	  humani varietate nativa weiter ausgeführt . Vergl. die nach dieser Eintheilung colorirte Weltcharteim Iten B. des Archivs für Ethnographie und 	Linguistik	 von J. F. Bertuch und J. S. Vater . 1 ) Die caucasische Rasse : Abbild. n. h. Gegenst. tab.
 12967209:	  der dazu gehörigen dreyfachen continuatio . ib. 1782. u. f. 8 . J. G. H. Zeder's Naturgeschichte der Eingeweidewürmer . 	Bamberg	 , 1803 . 8. Aber nun vor allen : C. Asm . Rudolphi entozoorum s. vermium intestinalium historia naturalis .
 13064623:	  varietate nativa weiter ausgeführt . Vergl. die nach dieser Eintheilung colorirte Weltcharte im ersten B. des Archivs für Ethnographie und 	Linguistik	 von J. F. Bertuch und J. S. Vater . 1 ) Die caucasische Rasse : Abbild. n. h. Gegenst. tab.
 13147288:	  der dazu gehörigen dreyfachen continuatio . ib. 1782. u. f. 8 . J. G. H. Zeder's Naturgeschichte der Eingeweidewürmer . 	Bamberg	 , 1803 . 8. Aber nun vor allen : C. Asm . Rudolphi entozoorum s. vermium intestinalium historia naturalis .
 13245523:	  varietate nativa weiter ausgeführt . Vergl. die nach dieser Eintheilung colorirte Weltcharte im ersten V. des Archivs für Ethnographie und 	Linguistik	 von J. F. Bertuch und J. S. Vater . 1 ) Die caucasische Rasse : Abbild. n. h. Gegenst. tab.
 13328910:	  der dazu gehörigen dreyfachen continuatio . ib. 1782. u. f. 8 . J. G. H. Zeder's Naturgeschichte der Eingeweidewürmer . 	Bamberg	 , 1803 . 8. Aber nun vor allen : C. Asm . Rudolphi entozoorum s. vermium intestinalium historia naturalis .
 13611652:	  , de Legibus III. c. 3. von den Consuln : „ Ollis Salus Populi Suprema Lex Esto . “ 5. 	Historische	 Schule . Organische Statslehre . Ein Verdienst der historischen Schule ist es , den organischen Charakter des States von neuem
 13639528:	  . Der Groszherzog von Toscana erhielt das Erzbisthum Salzburg und die Probstei Berchtesgaden . Pfalzbayern bekam die Bisthümer Würzburg , 	Bamberg	 , Freising , Augsburg , Passau u. s. f. , Preuszen die Bisthümer Hildesheim und Paderborn , Baden Theile der
 14385983:	  zu Canterbury . Nach Stotthart , I , 15 . Fig. 151 . Krieger , Holzskulptur in der Kathedrale zn 	Bamberg	 von 1370 . Nach Hewitt I , 138 . Auch der Haubert erleidet wesentliche Veränderungen in seinem Schnitte . Er
 14518848:	  ausgedehnten Saal ein . Für den Bedarf des Staates wurden schon im 14. Jahrhundert bedeutende Vorräte im Arsenale aufgestapelt . 	Historische	 Gedenkstücke aber wurden bis ins 18. Jahrhundert im Dogenpalaste gesammelt . Somit ist die Sammlung aus einem Zeughause entstanden ,
 14525555:	  Ornamentist , Zeichner von Prunkwaffen . Nürnberg , geb. 1514 , gest. 1562 . Sommer , Johann , Büchsenmacher . 	Bamberg	 , um 1680 . Sorg , Jörg , Zeichner , Ätzmaler . Augsburg . Entwirft seinem Schwager , den Plattner
 18239869:	  , von welchen ſechs Stück erlegt wurden ; am 25. Juni deſſelben Jahres ſah man eine Anzahl dieſer Vögel über 	Bamberg	 fliegen ; vom 14. bis 16. Juli hielten ſich zwei bei Schierſtein an einer Rheinaue auf dem Sande auf .
 19555172:	  Acht , wie er ſich anfienge zu fermentiren . Den andern Tag ſah ich weiter darnach und fand ſchon ein 	Korpus	 mit einem ungeſtalteten Kopf , ſetzte es beiſeits , und als ich den dritten Tag wiederum ſelbiges beſahe , konnte
 20633704:	  Mainz , wo er mit Döring u. Deſſoir zuſammen ſpielte . Von Mainz führte ihn ſeine Künſtlerlaufbahn nach Wiesbaden , 	Bamberg	 , Preßburg , Olmütz , Regensburg , Nürnberg zur Birch-Pfeiffer nach Zürich , zu Maurice nach Hamburg , an das
 20640969:	  Emil Horner ; IV , 1905 . Bauernſchmitt , Joſeph Erhard Franz Lothar , geb. am 31. Mai 1814 in 	Bamberg	 als Sohn eines Advokaten , beſuchte die höheren Lehranſtalten ſeiner Vaterſtadt und ſtudierte ſeit dem Herbſt 1835 in München und
 20641036:	  Krankenhauſe tätig war u. im April 1840 Aſſiſtenzarzt an demſelben ward . Jm April 1843 wurde er praktiſcher Arzt in 	Bamberg	 und 1861 Oberarzt der Lokalirrenanſtalt „ St. Getreu “ daſelbſt . Seit dem Jahre 1854 Gemeindebevollmächtigter , hat er als
 20645228:	  , 1893 . Bausback , Friedrich , geb. am 13. Septbr. 1811 zu Gremsdorf in Oberfranken , kam frühe nach 	Bamberg	 , wohin ſein Vater als Kreis- , Stadt- und Wechſelgerichtsrat verſetzt worden war , beſuchte hier die Volks- , die
 20660110:	  Studienjahr 1853–54 verbrachte B. auf der Hochſchule in Würzburg , und nachdem er danach kurze Zeit an den Studienanſtalten in 	Bamberg	 und Eichſtätt tätig geweſen war , erhielt er 1855 ſeine erſte ſtaatliche Anſtellung als Studienlehrer in Würzburg und rückte hier
 20695492:	  1908 . * Beyer , Konrad , pſeud . Konrad Byr , wurde am 13. Juli 1834 zu Pommersfelden b. 	Bamberg	 geboren , erhielt ſeine Bildung in Bayern und bezog dann die Univerſität Leipzig , wo er gleichzeitig mit A. Brehm
 20867913:	  und trat , 14 Jahre alt , zu Ronneburg in eine Buchhandlung ein . Später kam er nach München , 	Bamberg	 , Graz und Genf . Schon im Jahre 1848 begann er einzelne literariſche Aufſätze in die Öffentlichkeit zu bringen ;
 20880982:	  1888 . Diener , Eduard , geb. am 12. Jan. 1878 in Germersheim , iſt ( 1900 ) Lehrer in 	Bamberg	 . S : Roſamunde ( Hiſt. Tr. ) , 1901 . – Ahasver ( Einakterzyklus ; mit Arthur Heßlein )
 20891371:	  Zeit in Partitur . So vergingen Jahre , in welchen er zwiſchendurch längere Zeit auch in Koburg , Würzburg , 	Bamberg	 , Berlin , Kaſſel , Stuttgart und Leipzig verweilte . Jm Herbſt 1855 vermählte ſich D. mit Thekla , Tochter
 20892005:	  Schauenſtein , Bayreuth und Helmbrechts und bereitete ſich ſeit ſeinem 13. Jahre in Wunſiedel u. 1873–75 auf dem Seminar zu 	Bamberg	 auf den Lehrerberuf vor . Jm Jahre 1875 wurde er Lehrer in Haidengrün , ſpäter in Preſſeck im Frankenwalde ,
 20928455:	  dieſem , einem philologiſch hochgebildeten Manne , bis zur erſten Gymnaſialklaſſe vorgebildet , beſuchte er die Gymnaſien zu Ansbach und 	Bamberg	 , abſolvierte 1836 in Erlangen den philoſophiſchen Kurſus und ſtudierte darauf in Würzburg Medizin . Nachdem er 1840 zum Dr.
 20956343:	  bei Kroll , in Rotterdam als Oberregiſſeur der deutſchen Oper , in Mainz , Frankfurt a. M. , Krefeld , 	Bamberg	 , Würzburg , Riga , Danzig , Sigmaringen , Poſen , Straßburg u. a. O. , bis er ſich 1884
 20996932:	  , wurde ſpäter in der Diözeſe Mainz als Geiſtlicher verwendet u. † am 2. Septbr. 1851 auf einer Reiſe in 	Bamberg	 . S : Gedichte , 1838 . – Feldkirchers Gedichte in der Mundart von Andelsbuch , herausgeg . von Herm
 21006246:	  Gottfr. Joſeph Gabriel , wurde am 21. Oktbr . 1828 zu Kupferberg in Bayern geboren , beſuchte das Gymnaſium in 	Bamberg	 und bezog 1848 die Univerſität München , wo er ſich bald an der politiſchen Bewegung beteiligte . Wegen einer Rede
 21028233:	  vom Goldenen Horn , 1888 . Fraas , Karl Nikolaus , geb . am 6. Septbr. 1810 zu Rattelsdorf bei 	Bamberg	 , beſuchte das Gymnaſium in Bamberg , ſtudierte in München Medizin u. Botanik , wurde bald Aſſiſtent am Botaniſchen Garten
 21028239:	  Fraas , Karl Nikolaus , geb . am 6. Septbr. 1810 zu Rattelsdorf bei Bamberg , beſuchte das Gymnaſium in 	Bamberg	 , ſtudierte in München Medizin u. Botanik , wurde bald Aſſiſtent am Botaniſchen Garten , ging nach ſeiner Promotion (
 21049903:	  Jm Jahre 1866 trat er in den Ruheſtand , und lebte er ſeitdem , einen Aufenthalt auf ſeinem Landſitz bei 	Bamberg	 1870–75 abgerechnet , in Wiesbaden literariſchen Beſchäftigungen . 1876 gründete er den „ Verein für vereinfachte Rechtſchreibung nach phonetiſchen Grundſätzen
 21150731:	  der Sohn eines Zugführers , beſuchte die Volksſchule und das Gymnaſium daſelbſt , ſpäter das Gymnaſium und königl. Lyzeum in 	Bamberg	 u. widmete ſich ſeit 1877 dem Studium der katholiſchen Theologie . Jm Jahre 1891 zum Prieſter geweiht , wurde er
 21150755:	  ſeit 1877 dem Studium der katholiſchen Theologie . Jm Jahre 1891 zum Prieſter geweiht , wurde er 1892 Stadtkaplan in 	Bamberg	 und übernahm hier auch die Redaktion des „ St. Heinrichsblattes “ . 1897 kam er als Pfarrer nach Elbersberg in
 21189183:	  1889 dem königl. Oberpoſtamt in München zugeteilt , wurde er am 1. Juni 1890 Oberpoſtmeiſter und Vorſtand des Oberpoſtamtes in 	Bamberg	 , wo er am 2. Juni 1893 ſtarb . Als Entomologe hat er ſich durch ſein Werk „ Syſtematiſche Bearbeitung
 21189392:	  . Er widmete ſich in der Folge ganz der ſchriftſtelleriſchen Tätigkeit und lebte ſeitdem abwechſelnd in Wien , Stuttgart , 	Bamberg	 und Berlin , vorwiegend jedoch in letzterer Stadt . Jm Jahre 1896 trat er in die Redaktion des „ Hannoverſchen
 21189428:	  die Redaktion des „ Hannoverſchen Kurier “ ein , gab aber ſchon 1897 dieſe Stellung auf und lebte ſeitdem in 	Bamberg	 und ſeit 1898 in München , wo er als Korreſpondent des „ Berliner Börſen-Kuriers “ , als ſtändiger Mitarbeiter auswärtiger
 21251161:	  Wiens ( Hiſt. Schſp . ) , 1898 . * Haupt , Andreas , wurde am 22. Febr. 1813 zu 	Bamberg	 als der Sohn eines herzoglich bayeriſchen Kammerdieners geboren , beſuchte die dortige Lateinſchule u. das Gymnaſium , trat 1830 ins
 21251221:	  und ſowohl die Doktorwürde als auch die Prieſterweihe erlangt hatte , wurde er 1837 Religionslehrer an ſämtl. königl. Bildungsanſtalten in 	Bamberg	 , war auch ein Jahr lang ( 1837 bis 1838 ) Kaplan und Meßpfründner bei St. Martin daſelbſt . Jm
 21251251:	  1838 ) Kaplan und Meßpfründner bei St. Martin daſelbſt . Jm Jahre 1838 wurde er Jnſpektor des königl. Naturalienkabinetts in 	Bamberg	 , welche Stellung er bis 1885 innehatte . Außerdem war er von 1849 bis 1853 Rektor der Landwirtſchafts- und Gewerbeſchule
 21251314:	  1871 mit dem Titel eines erzbiſchöflichen geiſtlichen Rates geziert , trat er 1885 in den dauernden Ruheſtand und ſtarb zu 	Bamberg	 am 28. Januar 1893 . Bamberger Legenden u. Sagen ( Dn. ) , 1842 . – Daguerreotypen der Zeit (
 21268545:	  ) u. a. H. war einer der geſuchteſten Advokaten in ganz Bayern ; er wirkte als ſolcher Jahrzehnte lang in 	Bamberg	 , bis er einige Jahre vor ſeinem Tode nach München überſiedelte . Hier iſt er am 9. Septbr. 1903 geſtorben
 21305796:	  nach München über . Jm Jahre 1863 übertrug ihm der frühere König Otto v. Griechenland , der ſeine Reſidenz in 	Bamberg	 aufgeſchlagen , die artiſtiſche Leitung des dortigen Theaters ; nach des Königs Tode leitete H. , der ſchon früher den
 21310960:	  legte hier im März 1893 das Approbationsexamen ab u. promovierte daſelbſt auch zum Dr. med. Nachdem er ſeiner Militärpflicht in 	Bamberg	 genügt hatte , ging er am 1. März 1894 als Aſſiſtenzarzt an die Bezirksirrenanſtalt Stephansfeld bei Straßburg i. Elſ. und
 21354916:	  Nach 15jährigem Aufenthalt in Paris kehrte ſie nach Deutſchland zurück , lebte mehrere Jahre in Würzburg und ſeit 1887 in 	Bamberg	 . S : Verloren und gerettet ( N. ) , 1873 . * Hoffmann , Oskar , geboren am 29.
 21357910:	  Bewegung erhielt auch H. 1847 ganz plötzlich vom Miniſterium ſeine Entlaſſung , doch wurde er bald darauf als Archivar in 	Bamberg	 reaktiviert , u. nun wandte er ſich mit beſonderer Neigung der Erforſchung der Hohenzollernſchen Geſchichte zu . Dieſem Forſchen verdanken
 21358153:	  . * Hofmann , Bernhard , geb. am 13. Mai 1834 zu Ansbach in Bayern , verlebte ſeine Jugendjahre in 	Bamberg	 und München , kehrte nach dem Tode ſeines Vaters 1850 nach Ansbach zurück und abſolvierte hier im Herbſt 1851 das
 21363301:	  , als welcher er ſich bei der Reſtauration ſeiner Pfarrkirche bewährte , und auch Hiſtoriker ; die hiſtoriſchen Vereine zu 	Bamberg	 , Würzburg u. Meiningen hatten ihn zum Mitgliede ernannt . Daneben war er ein ſehr fruchtbarer Gelegenheitsdichter u. Verfaſſer von
 21568483:	  1909 . * Krapp , Lorenz Alexander , pſd . Arno von Walden , wurde am 18. Dezbr. 1882 in 	Bamberg	 geboren , wo ſein Vater eine Kunſtgärtnerei beſaß und jetzt als Privatmann lebt . Er beſuchte 1892‒ 1901 das dortige
 21568586:	  jungen Talente Bayerns aufgenommen werden . Nachdem er ſich hier die Würde eines Dr. jur. erworben , kehrte er nach 	Bamberg	 zurück u. iſt dort als Schriftſteller tätig . S : Kreuzesblüten ( Ge. ) , 1901 . 3. A. 1903
 21652589:	  ( Hiſt. Dr. ) , 1905 . * Leiningen-Weſterburg , Joſephine Gräfin zu , wurde am 8. April 1835 zu 	Bamberg	 als die Tochter des berühmten Geographen , Geſchichtsforſchers , Militärs und Dichters Karl Spruner von Merz geboren und vermählte ſich
 21671590:	  Leythäuſer-Melano , Max , wurde 1853 zu Paſſau als der Sohn eines Regierungsrats geboren , beſuchte das humaniſtiſche Gymnaſium zu 	Bamberg	 , verließ dasſelbe aber bei Ausbruch des Krieges 1870 , um ſich in die Reihen der Kämpfer zu ſtellen ,
 21689267:	  Stellung er bis 1874 verblieb . Nunmehr übernahm er eine Profeſſur der Kirchengeſchichte und des Kirchenrechts am königl. Lyzeum in 	Bamberg	 , welche er mehrere Jahre ( bis 1894 ) bekleidete . Jm Jahre 1881 wurde er auch zum Domkapitular ,
 21691272:	  Härri ; ſ. d. ! Linz , Amélie , pſeudon . Amélie Godin , wurde am 22. Mai 1824 zu 	Bamberg	 als die Tochter des aus Arolſen ſtammenden und 1839 verſtorbenen Arztes Dr. Fr. Speyeru . einer geborenen Baronin von Godin
 21710544:	  Lotze , Alfred , geb. am 23. April 1882 in Senftenberg ( Prov. Brandenburg ) , beſuchte die Gymnaſium zu 	Bamberg	 und Erfurt , ſtudierte ſeit 1902 in Leipzig und Halle neuere Philologie und Germaniſtik und erwarb ſich im Dezember 1906
 21770543:	  , pſeudon . Phantaſus , einziger Sohn des 1837 verſtorbenen Herzogs Pius Auguſt , wurde am 4. Dezember 1808 zu 	Bamberg	 geboren , anfänglich durch Privaterzieher , ſeit 1817 in der kgl . Erziehungsanſtalt für Studierende gebildet u. 1824 von ſeinem
 21771435:	  Hiſt. E. ) , 1895 . May , Andreas , Sohn eines Bierbrauers , geb. am 12. November 1817 in 	Bamberg	 , beſuchte das Gymnaſium u. Lyzeum ſeiner Vaterſtadt , ſtudierte dann in Würzburg und München die Rechte , erwarb ſich
 21775597:	  Beſtehen des archivaliſch . Staatskonkurſes 1883 als fürſtlich Fürſtenbergiſcher Archivſekretär nach Donaueſchingen , wurde am 1. Juli 1883 Kreisarchivſekretär in 	Bamberg	 und 1889 Kreisarchivar in Speier , wo er am 16. Aug. 1900 ſtarb . S : Luſtſame Geſchichte des Münchener
 21799981:	  Heilung eines blinden Mädchens ( Schauſpiel ) , 1901 . Metzner , Joſeph , wurde am 10. April 1839 zu 	Bamberg	 geboren , wo ſein Vater Buchbinder war , ſtudierte daſelbſt und trat im Herbſt 1858 in das dortige Klerikal-Seminar .
 21800038:	  1862 Kaplan in Fürth , im Oktober 1863 Kaplan in Nürnberg , im Mai 1867 Kuratus am allgemeinen Krankenhauſe zu 	Bamberg	 , im Febr. 1873 Profeſſor und Religionslehrer am Gymnaſium daſelbſt , im Novbr. 1876 Regens des erzbiſchöflichen Klerikal-Seminars und am
 21800070:	  im Novbr. 1876 Regens des erzbiſchöflichen Klerikal-Seminars und am 25. März 1885 geiſtlicher Rat und Domkapitular an der Kathedralkirche in 	Bamberg	 . Als ſolcher ſtarb er am 5. April 1888 . S : Herzensfrühling ( Ge. ) , 2. A. 1868
 21838660:	  Tod entriſſen . Nach vollendeter Schulbildung ging ſie für mehrere Jahre nach England , um dann gänzlich zu ihrer in 	Bamberg	 verheirateten Schweſter zu ziehen . Jn den Kriegsjahren 1870‒71 widmete ſie ſich in aufopfernder Weiſe der Pflege der Verwundeten u.
 21838725:	  Werken chriſtlicher Nächſtenliebe u. bewahrte ſich bis zum Tode ein wahrhaft reines , tief frommes Kindergemüt . Sie ſtarb in 	Bamberg	 im Auguſt 1903 . S : Kriegs- und Friedensklänge aus d. großen Jahre 1870‒71 ; 1872 . Montan , Frederik
 21864832:	  ; II , 1869 . 4. A. 1904 . * Müller , Joſeph , geb. am 14. Juli 1855 in 	Bamberg	 als Sohn eines Beamten im techniſchen Eiſenbahnbureau , beſuchte vom fünften Jahre ab die Volksſchule und vom neunten Jahre ab
 21864921:	  Kunſtſchätzen größere Aufmerkſamkeit widmete . Aus gänzlichem Mangel an Mitteln mußte er dann zur Theologie übergehen . Er trat in 	Bamberg	 ins Prieſterſeminar ein , erhielt im Herbſt 1877 die Prieſterweihe und ſeine Ernennung zum Kaplan in Forchheim , von wo
 21865058:	  eintrat , infolgedeſſen er ſchwere Anfeindungen zu erdulden hatte . Jm Jahre 1907 verlegte er ſeinen Wohnſitz nach ſeiner Vaterſtadt 	Bamberg	 , 1909 nach Michelfeld ( Oberpfalz ) und 1910 nach Nürnberg . Außer einer großen Zahl philoſophiſcher und religiöſer Schriften
 21929865:	  Rhöngebirge , begann mit zehn Jahren ſeine Studien im Fiſcherſchen Jnſtitut zu Würzburg und beſuchte dann 1885‒93 das Gymnaſium in 	Bamberg	 als Zögling des freiherrlich von Aufſeßſchen Studienſeminars . Nach abgelegter Reifeprüfung trat er in das Prieſterſeminar in Fulda ein ,
 21932086:	  ) , 1892 . Oberkamp , Olga von , pſeudon . Oskar Berkamp , geb. am 7. Dezember 1849 in 	Bamberg	 , lebte ( 1882 ) in Berlin oder den Vororten davon , ( 1891 ) in Stuttgart , ſeit 1892
 21982635:	  1882 † ) Oberſtleutnants und herzoglichen Flügel-Adjutanten , Kammerherrn Alexander v. P.-R. geboren , erhielt ſeinen Unterricht in Gotha , 	Bamberg	 , 1868‒71 in Schnepfenthal , mußte dann ſeiner Geſundheit wegen faſt zwei Jahre ohne allen Unterricht auf Reiſen in Böhmen
