"No.","Date","Genre","Bibl","ContextBefore","Hit","ContextAfter"
"33","1998-12-31","Wissenschaft","Fath, Rolf: Rollen - M. In: Reclams Opernlexikon, Berlin: Directmedia Publ. 2001 [1998], S. 12080","Der 50-Jährige beschäftigt drei Arbeiter, wobei der junge Luigi auch der Liebhaber von Micheles","junger","Frau Giorgetta ist."
"34","1901-12-31","Gebrauchsliteratur","Baudissin, Wolf von u. Baudissin, Eva von: Spemanns goldenes Buch der Sitte. In: Zillig, Werner (Hg.), Gutes Benehmen, Berlin: Directmedia Publ. 2004 [1901], S. 3044","»Aber ich bitte, solche Eile hat es doch nicht,","gnädige","Frau kommen ja doch noch einmal wieder vor.«"
"35","1953-12-31","Gebrauchsliteratur","Spoerl, Alexander: Mit dem Auto auf Du, Berlin u. a.: Dt. Buchgemeinschaft 1961 [1953], S. 13","Denn dem Auto gegenüber sind wir verzeihlicher als einer","eigenen","Frau; bei ihr zählen wir die Fehler, von unserem eigenen Auto hingegen bleibt nur das Gute im Gedächtnis."
"36","1950-12-31","Gebrauchsliteratur","Meißner, Hans-Otto: Man benimmt sich wieder, Giessen: Brühl 1950, S. 225","Und einer","klugen","Frau sollte dieser Erfolg doch nicht so schwer fallen!"
"37","1910-12-31","Gebrauchsliteratur","May, Karl: Mein Leben und Streben, Selbstbiographie von Karl May, Bd. I. In: Simons, Oliver (Hg.) Deutsche Autobiographien 1690-1930, Berlin: Directmedia Publ. 2004 [1910], S. 46814","Es ist ein geradezu unglaublicher Schmutz, der da über mich und meine","jetzige","Frau ausgegossen wird, und zwar mit raffinierter Benutzung und Bearbeitung der Bitterstoffe, die im Gemüte geschiedener Frauen vorhanden sind."
"38","1977-12-31","Belletristik","Hilsenrath, Edgar: Der Nazi & der Friseur, Köln: Literar. Verl. Braun 1977, S. 75","Sie hatte auch Verständnis dafür, daß der Schatten tänzeln konnte, zuweilen sogar seltsame Sprünge machte ... an der langen Wand ... als wollte er sich jeden Moment auf das einsame Bett stürzen und auf die einsame","ängstliche","Frau, die sie selbst war, eine arische Frau, tagsüber mit zwei Beinen, nachts nur mit einem, einem arischen, daß sich vor Schreck zusammenkrümmte - aber daß der Schatten auch grinsen konnte, und zwar immer anders - das verstand Frau Holle nicht."
"39","1927-12-31","Wissenschaft","Rafaeli, Max u. Le Mang, Erwin: Ueber die Liebe. In: Das große Aufklärungswerk für Braut- und Eheleute, Dresden: Buchversand Gutenberg o.J. 1933 [1927], S. 166","So wird zum Beispiel erzählt, daß eine","junge","Frau nach ihrem Hochzeitstage nicht wenig erstaunt war, als sie beim Aufgehen einer Falbel ihres Hochzeitsgewandes bemerkte, daß darin verborgen eine ganze Menge der verschiedensten Mädchenhaare, blonde, braune, schwarze, vorhanden waren."
"40","1943-12-31","Belletristik","Andres, Stefan Paul: Wir sind Utopia, München: Piper 1951 [1943], S. 70","Diese Heilige war eine","konsequente","Frau."
"41","1902-12-31","Gebrauchsliteratur","Stettenheim, Julius: Der moderne Knigge. In: Zillig, Werner (Hg.) Gutes Benehmen, Berlin: Directmedia Publ. 2004 [1902], S. 15101","Wer also Lust verspürt, unverlobt den Ball zu verlassen, sei, wie gesagt,","älteren","Frauen gegenüber vorsichtig."
"42","1986-12-31","Wissenschaft","o. A.: 1948. In: Overresch, Manfred u. Saal, Friedrich Wilhelm (Hgg.) Deutsche Geschichte von Tag zu Tag 1918-1949, Berlin: Directmedia Publ. 2000 [1986], S. 15627","Er ließ sich zwar 1933 von seiner","jüdischen","Frau scheiden, lebte jedoch weiter mit ihr und den drei Kindern gemeinsam in Sarow, bis Frau Thorak 1939 emigrierte."
"43","1973-12-31","Wissenschaft","Belgray, Alice u. Jenkins, Newell: Brunetti. In: Die Musik in Geschichte und Gegenwart, Berlin: Directmedia Publ. 2001 [1973], S. 10335","- Über Brunettis Familienleben ist wenig bekannt, nicht einmal der Name seiner","ersten","Frau; sie schenkte ihm eine Tochter, die um die Zeit von Brunettis Tod verheiratet war, und den erwähnten Sohn Francisco (* wahrscheinlich um 1770)."
"44","1950-12-31","Belletristik","Horster, Hans-Ulrich [d.i. Rhein, Eduard]: Ein Herz spielt falsch, Köln: Lingen 1991 [1950], S. 295","So entgegnet er ruhig: »Sie irren,","gnädige","Frau."
"45","1914-12-31","Belletristik","Rubiner, Ludwig: Untertan. In: Deutsche Literatur von Lessing bis Kafka, Berlin: Directmedia Publ. 2000 [1914], S. 143407","Jetzt, unter dem unverpackten, von draußen drängenden politischen Willen des »Untertans« werden in Deutschland viele tausend","ahnungslose","Frauen und Männer politisches Blut eingespritzt bekommen."
"46","1900-12-31","Wissenschaft","Freud, Sigmund: Die Traumdeutung, Leipzig u. a.: Deuticke 1914 [1900], S. 412","Schon in den 1895 publizierten ""Studien über Hysterie"" konnte ich die Aufklärung eines ersten hysterischen Angstanfalles mitteilen, den die mehr als 40","jährige","Frau in ihrem 15. Lebensjahre gehabt hatte."
"47","1943-12-31","Belletristik","Weismantel, Leo: Die höllische Trinität, Berlin: Union-Verl.1966 [1943], S. 51","Er schob ihm das Blatt der","nackten","Frau zu, das er selber gezeichnet hatte."
"48","1939-12-31","Wissenschaft","Elias, Norbert: Über den Prozeß der Zivilisation - Soziogenetische und psychogenetische Untersuchungen Bd. 2, Frankfurt a. M.: Suhrkamp 1992 [1939], S. 111","Es mag eine ganze Anzahl von Troubadouren gegeben haben, deren innere Beziehung zu der Herrin nicht so überaus groß war, und die sich persönlich bei anderen, leichter","erreichbaren","Frauen schadlos hielten."
"49","1909-12-31","Wissenschaft","Meisel-Hess, Grete: Die sexuelle Krise. In: Lehmstedt, Mark (Hg.) Deutsche Literatur von Frauen, Berlin: Directmedia Publ. 2001 [1909], S. 49495","Darum ist unsere Zeit so unheimlich überfüllt von weinenden, kämpfenden, tief unbefriedigten, ihres Lebens schwer überdrüssigen","jungen","Frauen."
"50","1950-12-31","Belletristik","Horster, Hans-Ulrich [d.i. Rhein, Eduard]: Ein Herz spielt falsch, Köln: Lingen 1991 [1950], S. 149","Sibylla umarmt die kleine","stämmige","Frau heftig."
"51","1924-10-02","Zeitung","Tucholsky, Kurt: Wie mache ich mich unbeliebt? In: Kurt Tucholsky, Werke - Briefe - Materialien, Berlin: Directmedia Publ. 2000 [1924]","Man kann eine","junge","Frau, die man nicht kennt und die in Umständen ist, fragen, wann sie denn zu heiraten gedächte . . ."
"52","1912-12-31","Belletristik","Courths-Mahler, Hedwig: Ich lasse dich nicht, Augsburg: Weltbild Verl. 1992 [1912], S. 38","Das fand die","ahnungslose","Frau sehr vernünftig."
"53","1922-12-31","Gebrauchsliteratur","Deussen, Paul: Mein Leben. In: Simons, Oliver (Hg.) Deutsche Autobiographien 1690-1930, Berlin: Directmedia Publ. 2004 [1922], S. 19182","wir zu Lübbenau mitten im Spreewalde und sahen mit Vergnügen, wie in diesem deutschen Venedig alle Welt von den","alten","Frauen bis zu den kleinen Mädchen herunter in ihren Kähnen die hier die Fahrwege vertretenden Kanäle belebten."
"54","1912-12-31","Gebrauchsliteratur","Holitscher, A.: Enthaltsamkeitsbewegung. In: Grotjahn, Alfred u. Kaup, J. (Hgg.) Handwörterbuch der sozialen Hygiene, Leipzig: Vogel 1912, S. 276","Ziemlich schwach ist die Bewegung noch in Österreich; die hier bestehenden Organisationen sind: der Arbeiter-Abstinentenbund, die ""Nephalia"", der Österreichische Bund","abstinenter","Frauen, der Verein ""Mimir"", Verein abstinenter Lehrer, Eisenbahner usw."
"55","1902-12-31","Belletristik","Strauß, Emil: Freund Hein, Berlin: S. Fischer 1907 [1902], S. 172","Ein Schulkamerad, sich mit einem schweren Handkoffer abschleppend, ging in Begleitung einer","älteren","Frau durch den Wartsaal, ohne Heiner zu sehen."
"56","1981-12-31","Wissenschaft","Hijiya-Kirschnereit, Irmela: Selbstentblößungsrituale, Wiesbaden: Steiner 1981, S. 156","All dies schließt natürlich nicht aus, daß der Ich-Erzähler auch einmal eine","andere","Frau bei sich wohnen läßt (313)."
"57","1942-12-31","Belletristik","Seghers, Anna: Das siebte Kreuz, Berlin: Aufbau-Taschenbuch-Verl. 2002 [1942], S. 57","»Hannes! Friedrich!« rief eine","alte","Frau aus dem Fenster über der Wäscherei zwei SA-Burschen an, die mit ihren Bräuten daherspazierten."
"58","1940-01-21","Zeitung","Simplicissimus, 21.01.1940","Die","gute","Frau ist zuerst sprachlos, dann aber legt sie in einem schnellen Entschluß den Büstenhalter zurück auf den Ladentisch und sagt mehr wehmütig als entrüstet: Woos , glei 12 Punkt?"
"59","1954-12-31","Wissenschaft","Bloch, Ernst: Das Prinzip Hoffnung Bd. 1, Berlin: Aufbau-Verl. 1954, S. 348","So ist die Imago der vorübergehenden, der nie wieder","gefundenen","Frau auch den Wunschbildern aus abgebrochener oder unvollendeter Wirklichkeitradikal beigemischt."
"60","1999-12-31","Belletristik","Dückers, Tanja: Spielzone, Berlin: Aufbau-Taschenbuch-Verl. 2002 [1999], S. 130","»Wenn ich nicht wüßte, daß du völlig auf blonde","kurzhaarige","Frauen mit braunen Augen und Wulstlippen fixiert bist, könnte ich mich glatt in dich verlieben.«"
"61","1976-05-05","Zeitung","Archiv der Gegenwart, 2001 [1976]","Auf den Außenminister der","PRRSV","Frau NGUYEN Thi Binh seien 97 % der Stimmen entfallen, auf den Vorsitzenden der Nationalen Befreiungsfront NGUYEN Huu Tho 95 %, auf den Vorsitzenden der Wahlkommission PHAM Hung 92 %, auf den ehemaligen Führer des Militärischen Verwaltungsausschüsses General TRAN Van Tra (19965 D/4) 91 % der Stimmen."
"62","1922-12-31","Belletristik","Kafka, Franz: Das Schloß. In: Deutsche Literatur von Lessing bis Kafka, Berlin: Directmedia Publ. 2000 [1922], S. 106089","Das weitere Ergebnis freilich war, daß ich mich dabei zerstörte, herzkrank wurde und nun eine","alte","Frau geworden bin."
"63","1910-12-31","Belletristik","May, Karl: Winnetou IV, Berlin: Neues Leben 1993 [1910], S. 12","Wozu noch extra die","roten","Frauen?"
"64","1910-03-04","Zeitung","Berliner Tageblatt (Morgen-Ausgabe), 04.03.1910","Wer weiß zum Beispiel etwas davon, daß der Großfürst Nikolaus Nikolajewisch , der gestrenge Oberbefehlshaber des Petersburger Militärbezirks, der seit zwei Jahren mit der geschiedenen Herzogin Anastasia von Leuchtenberg, geborenen Prinzessin von Montenegro, vermählt ist, am 4. September 1892 in erster Ehe eine","verwitwete","Frau Bourenine geheiratet hatte?"
"65","1928-12-31","Gebrauchsliteratur","Reznicek, Paula von u. Reznicek, Burghard von: Der vollendete Adam. In: Zillig, Werner (Hg.) Gutes Benehmen, Berlin: Directmedia Publ. 2004 [1928], S. 12786","Eine derart durch »force majeure« zum Unglücklichsein","verurteilte","Frau, die den Mut, sich frei zu machen, gehabt hat, trägt den Namen einer »geschiedenen Frau« zur Ehre und nicht als Makel, wie die Unbeugsamen lehren."
"66","1950-12-31","Belletristik","Horster, Hans-Ulrich [d.i. Rhein, Eduard]: Ein Herz spielt falsch, Köln: Lingen 1991 [1950], S. 224","»Es sind nur ein paar hundert Meter,","gnädige","Frau.«"
"67","1902-12-31","Belletristik","Janitschek, Maria: Die neue Eva. In: Deutsche Literatur von Frauen, Berlin: Directmedia Publ. 2001 [1902], S. 36155","Nun geht er zu","andern","Frauen, um neue einzuüben."
"68","1928-12-31","Gebrauchsliteratur","Reznicek, Paula von: Auferstehung der Dame. In: Zillig, Werner (Hg.) Gutes Benehmen, Berlin: Directmedia Publ. 2004 [1928], S. 12446","Mal eine nette Idee, ein Wohltätigkeitsbridge, außerdem sehr","elegante","Frauen und gut aussehende Männer, sehr anständige Sandwiches und Rosenblattzigaretten."
"69","1998-07-23","Zeitung","Die Zeit, 23.07.1998, Nr. 31","Was","muslimische","Frauen denken"
"70","1950-12-31","Gebrauchsliteratur","Meißner, Hans-Otto: Man benimmt sich wieder, Giessen: Brühl 1950, S. 203","Schon sein besonderes Interesse für eine","bestimmte","Frau, seine Bemühung und Werbung soll für andere so unmerklich sein wie nur möglich."
"71","1977-12-31","Belletristik","Schuder, Rosemarie: Agrippa und Das Schiff der Zufriedenen, Berlin u. a.: Aufbau-Verl. 1987 [1977], S. 110","Er hat eine","herzensgute","Frau."
"72","1943-12-31","Belletristik","Weismantel, Leo: Die höllische Trinität, Berlin: Union-Verl.1966 [1943], S. 187","Zu Füßen des Kreuzes kauerten zwei","klagende","Frauen, Maria Magdalena und Maria Salome, - stand ein andermal der Hauptmann unter dem Kreuz, jener, der gesagt hatte:"
"73","1997-05-16","Zeitung","Die Zeit, 16.05.1997, Nr. 21","Die hungrigen Mäuler zu Hause, die","arme","Frau, die kranke Großmutter."
"74","1946-12-31","Gebrauchsliteratur","Klemperer, Victor: [Tagebuch] 1946. In: ders., So sitze ich denn zwischen allen Stühlen, Berlin: Aufbau-Verl. 1999 [1946], S. 315","Wir fuhren am Di. 22. X hinaus, ein hübscher großer Saal, gut gefüllt - in Freital ist man kulturrege, u. der Leiter (mir schon von KB her bekannt) verpflichtete mich gleich zu einem Victor Hugo-Vortrag im","Dez.","Frau Stephan, im langen Conzertkleid gewaltig lang, sang mit kleiner Stimme aber sehr fein u. sehr dramatisch die ganze Serie der Schönen Müllerin."
"75","1924-12-31","Gebrauchsliteratur","Voß, Ernst: Lebenserinnerungen und Lebensarbeit des Mitbegründers der Schiffswerft von Blohm & Voß. In: Simons, Oliver (Hg.) Deutsche Autobiographien 1690-1930, Berlin: Directmedia Publ. 2004 [1924], S. 70593","Selbstverständlich war meine","junge","Frau froh in dem Gedanken, schon so bald nach Hamburg und somit in die Nähe der Eltern zurückkehren zu können, trotz des angenehmen Lebens im schönen Holland."
"76","1910-12-31","Gebrauchsliteratur","May, Karl: Mein Leben und Streben, Selbstbiographie von Karl May, Bd. I. In: Simons, Oliver (Hg.) Deutsche Autobiographien 1690-1930, Berlin: Directmedia Publ. 2004 [1910], S. 46836","Diese Verbündeten sind: die frühere","Kolporteuse","Frau Pauline Münchmeyer, Herausgeberin des berüchtigten, von der Polizei konfiszierten »Venustempels«."
"77","1900-12-31","Wissenschaft","Simmel, Georg: Philosophie des Geldes. In: Philosophie von Platon bis Nietzsche, Berlin: Directmedia Publ. 2000 [1900], S. 62439","So enthält der Frauenkauf ein erstes, freilich äußerst rohes Mittel, den individuellen Wert der","einzelnen","Frau und - vermöge jener psychologischen Regel der Werte auch den Wert der Frauen überhaupt hervortreten zu lassen."
"78","1922-12-31","Belletristik","Kafka, Franz: Das Schloß. In: Deutsche Literatur von Lessing bis Kafka, Berlin: Directmedia Publ. 2000 [1922], S. 106278","Du tust es nicht mit Absicht, die Umstände verleiten dich dazu; aus Liebe zu Amalia willst du sie hoch erhaben über alle Frauen hinstellen, und da du in Amalia selbst zu diesem Zwecke nicht genug Rühmenswertes findest, hilfst du dir damit, daß du","andere","Frauen verkleinerst."
"79","1918-12-31","Gebrauchsliteratur","Klemperer, Victor: [Tagebuch] 1918. In: ders., Leben sammeln, nicht fragen wozu und warum, Berlin: Aufbau-Taschenbuch-Verl. 2000 [1918], S. 27","Im Saal die Eleganz künstlerischer u.","studierter","Frauen vorherrschend."
"80","1914-04-20","Zeitung","Tucholsky, Kurt: In des Waldes tiefsten Gründen. In: Tucholsky, Kurt, Werke - Briefe - Materialien, Berlin: Directmedia Publ. 2000 [1914], S. 773","Und die Maschine schnattert, und der Räuber Kernbeißer droht der","alten","Frau Kurlbaum, ihr Sprößling werde gerädert, wofern sie nicht . . ."
"81","1910-12-31","Gebrauchsliteratur","Friedländer, Hugo: Die Ermordung der Medizinalrätin Molitor auf der Promenade in Baden-Baden. In: ders., Interessante Kriminal-Prozesse, Berlin: Directmedia Publ. 2001 [1910], S. 388","Die","unglückliche","Frau sagte dem Hau: Sie könne es nicht überleben, daß in öffentlicher Gerichtssitzung ihre Familienverhältnisse vor aller Welt erörtert werden, auch sei sie der Meinung, daß Hau ihre Mutter erschossen habe."
"82","1901-12-31","Gebrauchsliteratur","Baudissin, Wolf von u. Baudissin, Eva von: Spemanns goldenes Buch der Sitte. In: Zillig, Werner (Hg.), Gutes Benehmen, Berlin: Directmedia Publ. 2004 [1901], S. 2114","Die Höflichkeit und Liebenswürdigkeit gebietet, daß man auch die anderen jungen Mädchen lobt, und wir können unsere schlimmste Feindin zu unserer besten Freundin machen, wenn wir zu ihr sagen: »","Gnädige","Frau, Ihre Edith sieht heute abend aber geradezu entzückend aus, sie ist entschieden die hübscheste von allen - gegen Edith tritt selbst meine Clara ganz ganz weit zurück.«"
"83","1996-12-31","Belletristik","Jentzsch, Kerstin: Ankunft der Pandora, München: Heyne 1997 [1996], S. 351","""Wo arbeiten Sie?"" fragte die","zweite","Frau."
"84","1970-12-31","Belletristik","Johnson, Uwe: Jahrestage, Bd. 1, Frankfurt a. M.: Suhrkamp 1970, S. 198","Nach einer Weile verzog er sich zur Beckergrube, wo Erwin auf ihn hatte warten wollen, und saß lange umsonst an einem Hinterhoffenster, in der Guten Stube einer","alten","Frau, die ihn behandelte wie einen von vielen Unerwachsenen, die sich aus bloßem Mutwillen in lästige Umstände bringen."
"85","1940-05-02","Zeitung","Tribüne, 1940, Nr. 13","Nur die","jüngeren","Frauen, die es noch nicht gelernt hatten ihr Temperament zu zügeln, hatten einige Söhne versehentlich dem Staat geschenkt."
"86","1991-12-31","Belletristik","Maron, Monika: Stille Zeile Sechs, Frankfurt a. M.: S. Fischer 1991, S. 170","Dann ging Ebi zu seiner","geschiedenen","Frau zurück und behielt Simone als Angestellte in seiner Kneipe."
