Belegtext	Animacy_finegrained	Lemma	PoS	Ort	Jahr	upperCase	Sprachraum.ost.west	weiblich	Kompositum	Period	Animacy3	Animacy	Freq
anfall	abstrakt	anfall	NN	Stralsund	1630	FALSE	1		0	3	abstract	0	3
anfall	abstrakt	anfall	NN	Stralsund	1630	FALSE	1		0	3	abstract	0	3
anfang	abstrakt	anfang	NN	Perleberg	1588	FALSE	1		0	1	abstract	0	3
Anfang	abstrakt	anfang	NN	Rosenburg	1618	TRUE	1		0	2	abstract	0	3
Anfangk	abstrakt	anfang	NN	Rosenburg	1618	TRUE	1		0	2	abstract	0	3
Anfenglichen	abstrakt	anfänglich	NN	Schweinfurt	1616	TRUE	1		0	2	abstract	0	1
angesicht	konkret Körperteil	angesicht	NN	Alme	1630	FALSE	0		0	3	concrete	1	7
angesicht	konkret Körperteil	angesicht	NN	Georgenthal	1597	FALSE	1		0	1	concrete	1	7
angesicht	konkret Körperteil	angesicht	NN	Günzburg	1613	FALSE	0		0	2	concrete	1	7
ange- sicht	konkret Körperteil	angesicht	NN	Günzburg	1613	FALSE	0		0	2	concrete	1	7
angesicht	konkret Körperteil	angesicht	NN	Hamm	1592	FALSE	0		0	1	concrete	1	7
angesicht	konkret Körperteil	angesicht	NN	Jever	1592	FALSE	0		0	1	concrete	1	7
Ange- sichte	konkret Körperteil	angesicht	NN	Ostrau	1628	TRUE	1		0	3	concrete	1	7
Anhallten	abstrakt	anhalten	NN	Georgenthal	1597	TRUE	1		0	1	abstract	0	1
anhang	menschlich	anhang	NN	München	1600	FALSE	1		0	1	animate	2	1
anclage	abstrakt	anklage	NN	Hamm	1592	FALSE	0		0	1	abstract	0	2
Anklage	abstrakt	anklage	NN	Meldorf	1618	TRUE	0		0	2	abstract	0	2
anlaß	abstrakt	anlasz	NN	Güstrow	1615	FALSE	1		0	2	abstract	0	1
anraitzung	abstrakt	anreizung	NN	Bamberg	1628	FALSE	1		0	3	abstract	0	2
anreizungen	abstrakt	anreizung	NN	München	1600	FALSE	1		0	1	abstract	0	2
anschlagen	abstrakt	anschlag	NN	Hamm	1592	FALSE	0		0	1	abstract	0	1
anstellungen	abstrakt	anstellung	NN	Hamm	1592	FALSE	0		0	1	abstract	0	1
antrib	abstrakt	antrieb	NN	Baden-Baden	1628	FALSE	0		0	3	abstract	0	1
antwort	abstrakt	antwort	NN	Lemberg	1630	FALSE	0		0	3	abstract	0	3
antwort	abstrakt	antwort	NN	Meldorf	1618	FALSE	0		0	2	abstract	0	3
antwortt	abstrakt	antwort	NN	Rosenburg	1618	FALSE	1		0	2	abstract	0	3
anwesendten	menschlich	anwesend	NN	Bamberg	1628	FALSE	1		0	3	animate	2	2
anwesendte	menschlich	anwesend	NN	Bamberg	1628	FALSE	1		0	3	animate	2	2
anzahl	abstrakt	anzahl	NN	Güstrow	1615	FALSE	1		0	2	abstract	0	2
anzall	abstrakt	anzahl	NN	Hamm	1592	FALSE	0		0	1	abstract	0	2
Anzaigen	abstrakt	anzeigen	NN	Riedlingen	1596	TRUE	0		0	1	abstract	0	1
anzeigung	abstrakt	anzeigung	NN	Perleberg	1588	FALSE	1		0	1	abstract	0	1
anziehung	abstrakt	anziehung	NN	Lemberg	1630	FALSE	0		0	3	abstract	0	1
Arbait	abstrakt	arbeit	NN	München	1600	TRUE	1		0	1	abstract	0	2
Arbait	abstrakt	arbeit	NN	München	1600	TRUE	1		0	1	abstract	0	2
Armen	konkret Körperteil	arm	NN	Baden-Baden	1628	TRUE	0		0	3	concrete	1	2
Arm	konkret Körperteil	arm	NN	Gaugrehweiler	1610	TRUE	0		0	2	concrete	1	2
Ermel	konkret	ärmel	NN	Schweinfurt	1616	TRUE	1		0	2	concrete	1	1
Armueth	abstrakt	armut	NN	Baden-Baden	1628	TRUE	0		0	3	abstract	0	3
Armueth	abstrakt	armut	NN	Baden-Baden	1628	TRUE	0		0	3	abstract	0	3
Armutt	abstrakt	armut	NN	Georgenthal	1597	TRUE	1		0	1	abstract	0	3
Arsch	konkret Körperteil	arsch	NN	Hamm	1592	TRUE	0		0	1	concrete	1	2
Eschen	konkret	asche	NN	Riedlingen	1596	TRUE	0		0	1	concrete	1	2
Eschen	konkret	asche	NN	Riedlingen	1596	TRUE	0		0	1	concrete	1	2
aufenhalt	abstrakt	aufenthalt	NN	Güstrow	1615	FALSE	1		0	2	abstract	0	1
Auge	konkret Körperteil	auge	NN	Georgenthal	1597	TRUE	1		0	1	concrete	1	7
Auge	konkret Körperteil	auge	NN	Georgenthal	1597	TRUE	1		0	1	concrete	1	7
augen	konkret Körperteil	auge	NN	Hamm	1592	FALSE	0		0	1	concrete	1	7
augenn	konkret Körperteil	auge	NN	Jever	1592	FALSE	0		0	1	concrete	1	7
ogen	konkret Körperteil	auge	NN	Meldorf	1618	FALSE	0		0	2	concrete	1	7
augen	konkret Körperteil	auge	NN	Rosenburg	1618	FALSE	1		0	2	concrete	1	7
Augen	konkret Körperteil	auge	NN	Schweinfurt	1616	TRUE	1		0	2	concrete	1	7
außlaßungh	abstrakt	auslassung	NN	Hamm	1592	FALSE	0		0	1	abstract	0	1
Außrhüren	abstrakt	ausrühren	NN	Schweinfurt	1616	TRUE	1		0	2	abstract	0	1
aussage	abstrakt	aussage	NN	Georgenthal	1597	FALSE	1		0	1	abstract	0	15
Aussage	abstrakt	aussage	NN	Georgenthal	1597	TRUE	1		0	1	abstract	0	15
Aussage	abstrakt	aussage	NN	Georgenthal	1597	TRUE	1		0	1	abstract	0	15
Aussage	abstrakt	aussage	NN	Georgenthal	1597	TRUE	1		0	1	abstract	0	15
Außage	abstrakt	aussage	NN	Ostrau	1628	TRUE	1		0	3	abstract	0	15
Auß- sage	abstrakt	aussage	NN	Ostrau	1628	TRUE	1		0	3	abstract	0	15
Ausßag	abstrakt	aussage	NN	Schweinfurt	1616	TRUE	1		0	2	abstract	0	15
Ausßag	abstrakt	aussage	NN	Schweinfurt	1616	TRUE	1		0	2	abstract	0	15
Ausßag	abstrakt	aussage	NN	Schweinfurt	1616	TRUE	1		0	2	abstract	0	15
Ausßag	abstrakt	aussage	NN	Schweinfurt	1616	TRUE	1		0	2	abstract	0	15
Ausßag	abstrakt	aussage	NN	Schweinfurt	1616	TRUE	1		0	2	abstract	0	15
Ausßag	abstrakt	aussage	NN	Schweinfurt	1616	TRUE	1		0	2	abstract	0	15
Ausßag	abstrakt	aussage	NN	Schweinfurt	1616	TRUE	1		0	2	abstract	0	15
Ausßag	abstrakt	aussage	NN	Schweinfurt	1616	TRUE	1		0	2	abstract	0	15
außage	abstrakt	aussage	NN	Stralsund	1630	FALSE	1		0	3	abstract	0	15
ausßage	abstrakt	aussagen	NN	Günzburg	1613	FALSE	0		0	2	abstract	0	1
auererschen	menschlich	auszerirdisch	NN	Perleberg	1588	FALSE	1		0	1	animate	2	1
Backhaus	konkret	backhaus	NN	Lemberg	1630	TRUE	0		0	3	concrete	1	1
Bade Magdt	menschlich	bademagd	NB	Georgenthal	1597	TRUE	1	j	0	1	animate	3	1
banckh	konkret	bank	NN	Günzburg	1613	FALSE	0		0	2	concrete	1	1
Bencklein	konkret	bänkchen	NN	Georgenthal	1597	TRUE	1		0	1	concrete	1	1
Barchet	konkret	barchet	NN	Schweinfurt	1616	TRUE	1		0	2	concrete	1	1
Barm	konkret	barm	NN	München	1600	TRUE	1		0	1	concrete	1	1
barmherzigkait	abstrakt	barmherzigkeit	NN	Riedlingen	1596	FALSE	0		0	1	abstract	0	1
Barrn	konkret	barre	NN	München	1600	TRUE	1		0	1	concrete	1	1
Beürin	menschlich	bauer	NB	Bamberg	1628	TRUE	1	n	0	3	animate	4	9
Beürin	menschlich	bauer	NB	Bamberg	1628	TRUE	1	n	0	3	animate	4	9
Paurn	menschlich	bauer	NB	München	1600	TRUE	1	n	0	1	animate	4	9
Paur	menschlich	bauer	NB	München	1600	TRUE	1	n	0	1	animate	4	9
Paurn	menschlich	bauer	NB	München	1600	TRUE	1	n	0	1	animate	4	9
Paur	menschlich	bauer	NB	München	1600	TRUE	1	n	0	1	animate	4	9
Paur	menschlich	bauer	NB	München	1600	TRUE	1	n	0	1	animate	4	9
Bawern	menschlich	bauer	NB	Rosenburg	1618	TRUE	1	n	0	2	animate	4	9
Pauerknecht	menschlich	bauerknecht	NB	Ostrau	1628	TRUE	1	n	1	3	animate	4	1
baumen	konkret	baum	NN	Lemberg	1630	FALSE	0		0	3	concrete	1	1
beAmbten	menschlich	beamte	NB	Rosenburg	1618	FALSE	1	n	0	2	animate	4	1
becher	konkret	becher	NN	Hamm	1592	FALSE	0		0	1	concrete	1	1
bedenkhzeit	abstrakt	bedenkzeit	NN	Bamberg	1628	FALSE	1		1	3	abstract	0	3
bedenkhzeit	abstrakt	bedenkzeit	NN	Bamberg	1628	FALSE	1		1	3	abstract	0	3
bedenckzeitt	abstrakt	bedenkzeit	NN	Lemberg	1630	FALSE	0		1	3	abstract	0	3
bedrawung	abstrakt	bedrohung	NN	Rosenburg	1618	FALSE	1		0	2	abstract	0	1
bephelch	abstrakt	befehl	NN	Georgenthal	1597	FALSE	1		0	1	abstract	0	5
bephelch	abstrakt	befehl	NN	Georgenthal	1597	FALSE	1		0	1	abstract	0	5
beuelch	abstrakt	befehl	NN	Hamm	1592	FALSE	0		0	1	abstract	0	5
beuelch	abstrakt	befehl	NN	Hamm	1592	FALSE	0		0	1	abstract	0	5
beuelch	abstrakt	befehl	NN	Schweinfurt	1616	FALSE	1		0	2	abstract	0	5
befragung	abstrakt	befragung	NN	Georgenthal	1597	FALSE	1		0	1	abstract	0	3
befragung	abstrakt	befragung	NN	Georgenthal	1597	FALSE	1		0	1	abstract	0	3
befragunge	abstrakt	befragung	NN	Georgenthal	1597	FALSE	1		0	1	abstract	0	3
begehren	abstrakt	begehren	NN	Schweinfurt	1616	FALSE	1		0	2	abstract	0	1
behausung	abstrakt	behausung	NN	Georgenthal	1597	FALSE	1		0	1	abstract	0	4
behaußung	konkret	behausung	NN	Günzburg	1613	FALSE	0		0	2	concrete	1	4
be heusung	konkret	behausung	NN	Perleberg	1588	FALSE	1		0	1	concrete	1	4
behausung	konkret	behausung	NN	Perleberg	1588	FALSE	1		0	1	concrete	1	4
beicht	abstrakt	beichten	NN	Riedlingen	1596	FALSE	0		0	1	abstract	0	1
beine	konkret Körperteil	bein	NN	Alme	1630	FALSE	0		0	3	concrete	1	3
Bein	konkret Körperteil	bein	NN	Hamm	1592	TRUE	0		0	1	concrete	1	3
bain	konkret Körperteil	bein	NN	Lemberg	1630	FALSE	0		0	3	concrete	1	3
beisein	abstrakt	beisein	NN	Gaugrehweiler	1610	FALSE	0		0	2	abstract	0	8
beysein	abstrakt	beisein	NN	Gaugrehweiler	1610	FALSE	0		0	2	abstract	0	8
beysein	abstrakt	beisein	NN	Georgenthal	1597	FALSE	1		0	1	abstract	0	8
beysein	abstrakt	beisein	NN	Hamm	1592	FALSE	0		0	1	abstract	0	8
beysein	abstrakt	beisein	NN	Lemberg	1630	FALSE	0		0	3	abstract	0	8
beysein	abstrakt	beisein	NN	Schweinfurt	1616	FALSE	1		0	2	abstract	0	8
beisein	abstrakt	beisein	NN	Schweinfurt	1616	FALSE	1		0	2	abstract	0	8
bey- standt	abstrakt	beistand	NN	Lemberg	1630	FALSE	0		0	3	abstract	0	2
beystandt	abstrakt	beistand	NN	Lemberg	1630	FALSE	0		0	3	abstract	0	2
beiwesen	abstrakt	beiwesen	NN	Jever	1592	FALSE	0		0	1	abstract	0	2
Beiwesen	abstrakt	beiwesen	NN	Ostrau	1628	TRUE	1		0	3	abstract	0	2
beywesente	menschlich	beiwesend	NN	Bamberg	1628	FALSE	1		0	3	animate	2	1
bekhandte	menschlich	bekannte	NN	München	1600	FALSE	1		0	1	animate	2	1
bekandtnus	abstrakt	bekanntnis	NN	Bamberg	1628	FALSE	1		0	3	abstract	0	1
bekendt- niße	abstrakt	bekenntnis	NN	Alme	1630	FALSE	0		0	3	abstract	0	20
bekhandtnuß	abstrakt	bekenntnis	NN	Baden-Baden	1628	FALSE	0		0	3	abstract	0	20
bekhandt- nuß	abstrakt	bekenntnis	NN	Baden-Baden	1628	FALSE	0		0	3	abstract	0	20
bekandtnus	abstrakt	bekenntnis	NN	Bamberg	1628	FALSE	1		0	3	abstract	0	20
bekendtnus	abstrakt	bekenntnis	NN	Güstrow	1615	FALSE	1		0	2	abstract	0	20
bekhendtnuß	abstrakt	bekenntnis	NN	Hamm	1592	FALSE	0		0	1	abstract	0	20
Bekentnus	abstrakt	bekenntnis	NN	Jever	1592	TRUE	0		0	1	abstract	0	20
bekendtnus	abstrakt	bekenntnis	NN	Jever	1592	FALSE	0		0	1	abstract	0	20
bekentnus	abstrakt	bekenntnis	NN	Jever	1592	FALSE	0		0	1	abstract	0	20
bekenteniße	abstrakt	bekenntnis	NN	Meldorf	1618	FALSE	0		0	2	abstract	0	20
Bekentnus	abstrakt	bekenntnis	NN	Ostrau	1628	TRUE	1		0	3	abstract	0	20
Bekentnus	abstrakt	bekenntnis	NN	Ostrau	1628	TRUE	1		0	3	abstract	0	20
Bekentnus	abstrakt	bekenntnis	NN	Ostrau	1628	TRUE	1		0	3	abstract	0	20
bekantnuß	abstrakt	bekenntnis	NN	Perleberg	1588	FALSE	1		0	1	abstract	0	20
bekantnuß	abstrakt	bekenntnis	NN	Perleberg	1588	FALSE	1		0	1	abstract	0	20
bekentnuß	abstrakt	bekenntnis	NN	Perleberg	1588	FALSE	1		0	1	abstract	0	20
Bekhandtnuß	abstrakt	bekenntnis	NN	Riedlingen	1596	TRUE	0		0	1	abstract	0	20
bekhandtnuß	abstrakt	bekenntnis	NN	Riedlingen	1596	FALSE	0		0	1	abstract	0	20
bekhandtnuß	abstrakt	bekenntnis	NN	Riedlingen	1596	FALSE	0		0	1	abstract	0	20
bekandtnus	abstrakt	bekenntnis	NN	Schweinfurt	1616	FALSE	1		0	2	abstract	0	20
Beclagtin	menschlich	beklagte	NN	Lemberg	1630	TRUE	0		0	3	animate	2	2
Beclagtin	menschlich	beklagte	NN	Lemberg	1630	TRUE	0		0	3	animate	2	2
berge	konkret	berg	NN	Meldorf	1618	FALSE	0		0	2	concrete	1	3
berge	konkret	berg	NN	Perleberg	1588	FALSE	1		0	1	concrete	1	3
berg	konkret Ort	berg	NN	Riedlingen	1596	FALSE	0		0	1	concrete	1	3
bericht	abstrakt	bericht	NN	Stralsund	1630	FALSE	1		0	3	abstract	0	1
beschedigten	konkret	beschädigen	NN	Güstrow	1615	FALSE	1		0	2	concrete	1	1
beschaffenheit	abstrakt	beschaffenheit	NN	Schweinfurt	1616	FALSE	1		0	2	abstract	0	1
beschluß	abstrakt	beschlusz	NN	Georgenthal	1597	FALSE	1		0	1	abstract	0	1
beschuldigung	abstrakt	beschuldigung	NN	Jever	1592	FALSE	0		0	1	abstract	0	2
beschuldigung	abstrakt	beschuldigung	NN	Rosenburg	1618	FALSE	1		0	2	abstract	0	2
beschwehrnus	abstrakt	beschwernis	NN	Bamberg	1628	FALSE	1		0	3	abstract	0	1
beßem	konkret	besem	NN	Stralsund	1630	FALSE	1		0	3	concrete	1	1
Päsen	konkret	besen	NN	Schweinfurt	1616	TRUE	1		0	2	concrete	1	4
Besen	konkret	besen	NN	Schweinfurt	1616	TRUE	1		0	2	concrete	1	4
Besens	konkret	besen	NN	Schweinfurt	1616	TRUE	1		0	2	concrete	1	4
beßen	konkret	besen	NN	Stralsund	1630	FALSE	1		0	3	concrete	1	4
beßerung	abstrakt	besserung	NN	Perleberg	1588	FALSE	1		0	1	abstract	0	1
betrachtung	abstrakt	betrachtung	NN	Güstrow	1615	FALSE	1		0	2	abstract	0	1
betrubnuß	abstrakt	betrübnis	NN	Hamm	1592	FALSE	0		0	1	abstract	0	2
betrubnußen	abstrakt	betrübnis	NN	Hamm	1592	FALSE	0		0	1	abstract	0	2
beth	konkret	bett	NN	Bamberg	1628	FALSE	1		0	3	concrete	1	9
bedt	konkret	bett	NN	Hamm	1592	FALSE	0		0	1	concrete	1	9
bedt	konkret	bett	NN	Hamm	1592	FALSE	0		0	1	concrete	1	9
bedde	konkret	bett	NN	Meldorf	1618	FALSE	0		0	2	concrete	1	9
bedde	konkret	bett	NN	Meldorf	1618	FALSE	0		0	2	concrete	1	9
bedde	konkret	bett	NN	Meldorf	1618	FALSE	0		0	2	concrete	1	9
bedde	konkret	bett	NN	Meldorf	1618	FALSE	0		0	2	concrete	1	9
bedde	konkret	bett	NN	Meldorf	1618	FALSE	0		0	2	concrete	1	9
bette	konkret	bett	NN	Stralsund	1630	FALSE	1		0	3	concrete	1	9
bettell frau	menschlich	bettelfrau	NN	Gaugrehweiler	1610	FALSE	0	j	1	2	animate	3	1
betteljungen	menschlich	betteljunge	NN	Schweinfurt	1616	FALSE	1	n	1	2	animate	4	1
Petler	menschlich	bettler	NB	München	1600	TRUE	1	n	0	1	animate	4	2
bettler	menschlich	bettler	NN	Perleberg	1588	FALSE	1	n	0	1	animate	4	2
beutelchen	konkret	beutelchen	NN	Rosenburg	1618	FALSE	1		0	2	concrete	1	2
beutelchen	konkret	beutelchen	NN	Rosenburg	1618	FALSE	1		0	2	concrete	1	2
beweiß	abstrakt	beweis	NN	Perleberg	1588	FALSE	1		0	1	abstract	0	1
Bier	konkret	bier	NN	Georgenthal	1597	TRUE	1		0	1	concrete	1	3
Bier	konkret	bier	NN	Lemberg	1630	TRUE	0		0	3	concrete	1	3
bier	konkret	bier	NN	Stralsund	1630	FALSE	1		0	3	concrete	1	3
beest	menschlich	biest	NN	Meldorf	1618	FALSE	0		0	2	animate	2	1
bildichen	konkret	bildchen	NN	Stralsund	1630	FALSE	1		0	3	concrete	1	2
bildichen	konkret	bildchen	NN	Stralsund	1630	FALSE	1		0	3	concrete	1	2
bitten	abstrakt	bitten	NN	Lemberg	1630	FALSE	0		0	3	abstract	0	2
bitten	abstrakt	bitten	NN	Rosenburg	1618	FALSE	1		0	2	abstract	0	2
bliz	abstrakt	blitz	NN	Günzburg	1613	FALSE	0		0	2	abstract	0	1
blumen	konkret	blume	NN	Stralsund	1630	FALSE	1		0	3	concrete	1	1
blueth	konkret	blut	NN	Bamberg	1628	FALSE	1		0	3	concrete	1	5
blode	konkret	blut	NN	Güstrow	1615	FALSE	1		0	2	concrete	1	5
blode	konkret	blut	NN	Güstrow	1615	FALSE	1		0	2	concrete	1	5
bluot	konkret	blut	NN	Riedlingen	1596	FALSE	0		0	1	concrete	1	5
blutte	konkret Körperteil	blut	NN	Stralsund	1630	FALSE	1		0	3	concrete	1	5
bliuen	konkret	blüte	NN	Lemberg	1630	FALSE	0		0	3	concrete	1	1
blutt	konkret	blutt	NN	Perleberg	1588	FALSE	1		0	1	concrete	1	1
Bokhs	tierisch	bock	NN	Bamberg	1628	TRUE	1		0	3	animate	2	4
bock	tierisch	bock	NN	Hamm	1592	FALSE	0		0	1	animate	2	4
Bock	tierisch	bock	NN	Lemberg	1630	TRUE	0		0	3	animate	2	4
boden	konkret	boden	NN	Baden-Baden	1628	FALSE	0		0	3	concrete	1	2
boden	konkret	boden	NN	Baden-Baden	1628	FALSE	0		0	3	concrete	1	2
boses	abstrakt	böse	NN	Güstrow	1615	FALSE	1		0	2	abstract	0	8
boses	abstrakt	böse	NN	Jever	1592	FALSE	0		0	1	abstract	0	8
bößes	abstrakt	böse	NN	Lemberg	1630	FALSE	0		0	3	abstract	0	8
bo- ses	abstrakt	böse	NN	Perleberg	1588	FALSE	1		0	1	abstract	0	8
Bottschafft	abstrakt	botschaft	NN	Hamm	1592	TRUE	0		0	1	abstract	0	1
brandt	abstrakt	brand	NN	Rosenburg	1618	FALSE	1		0	2	abstract	0	1
brates	konkret	braten	NN	Riedlingen	1596	FALSE	0		0	1	concrete	1	2
brates	konkret	braten	NN	Riedlingen	1596	FALSE	0		0	1	concrete	1	2
brudt	menschlich	braut	NN	Meldorf	1618	FALSE	0	j	0	2	animate	3	1
Braut-  schatzes	konkret	brautschatz	NN	Jever	1592	TRUE	0		1	1	concrete	1	1
brodt	konkret	brot	NN	Baden-Baden	1628	FALSE	0		0	3	concrete	1	5
brodt	konkret	brot	NN	Baden-Baden	1628	FALSE	0		0	3	concrete	1	5
brodt	konkret	brot	NN	Hamm	1592	FALSE	0		0	1	concrete	1	5
Brodt	konkret	brot	NN	Lemberg	1630	TRUE	0		0	3	concrete	1	5
brot	konkret	brot	NN	Riedlingen	1596	FALSE	0		0	1	concrete	1	5
Bruders	menschlich	bruder	NN	Jever	1592	TRUE	0	n	0	1	animate	4	4
Brodernn	menschlich	bruder	NN	Jever	1592	TRUE	0	n	0	1	animate	4	4
Bruder	menschlich	bruder	NN	Jever	1592	TRUE	0	n	0	1	animate	4	4
Brueder	menschlich	bruder	NN	Stralsund	1630	TRUE	1	n	0	3	animate	4	4
brust	konkret Körperteil	brust	NN	Alme	1630	FALSE	0		0	3	concrete	1	3
Bruste	konkret Körperteil	brust	NN	Jever	1592	TRUE	0		0	1	concrete	1	3
brust	konkret Körperteil	brust	NN	Riedlingen	1596	FALSE	0		0	1	concrete	1	3
Pueb	menschlich	bub	NN	München	1600	TRUE	1	n	0	1	animate	4	2
Pueb	menschlich	bub	NN	München	1600	TRUE	1	n	0	1	animate	4	2
Pueben	menschlich	bube	NN	München	1600	TRUE	1	n	0	1	animate	4	3
Pueben	menschlich	bube	NN	München	1600	TRUE	1	n	0	1	animate	4	3
Pueben	menschlich	bube	NN	München	1600	TRUE	1	n	0	1	animate	4	3
bixlin	konkret	büchse	NN	Riedlingen	1596	FALSE	0		0	1	concrete	1	2
büchße	konkret	büchse	NN	Rosenburg	1618	FALSE	1		0	2	concrete	1	2
Buhl	übermenschlich Teufel	buhle	NN	Lemberg	1630	TRUE	0	n	0	3	animate	4	45
Buhl	übermenschlich Teufel	buhle	NN	Lemberg	1630	TRUE	0	n	0	3	animate	4	45
Buhlen	übermenschlich Teufel	buhle	NN	Lemberg	1630	TRUE	0	n	0	3	animate	4	45
Buhlen	übermenschlich Teufel	buhle	NN	Lemberg	1630	TRUE	0	n	0	3	animate	4	45
Buhlen	übermenschlich Teufel	buhle	NN	Lemberg	1630	TRUE	0	n	0	3	animate	4	45
Buhlen	übermenschlich Teufel	buhle	NN	Lemberg	1630	TRUE	0	n	0	3	animate	4	45
Buel	übermenschlich Teufel	buhle	NN	Baden-Baden	1628	TRUE	0	n	0	3	animate	4	45
Puhlin	übermenschlich Teufel	buhle	NN	Bamberg	1628	TRUE	1	j	0	3	animate	3	45
Puhlin	übermenschlich Teufel	buhle	NN	Bamberg	1628	TRUE	1	j	0	3	animate	3	45
Puhlin	übermenschlich Teufel	buhle	NN	Bamberg	1628	TRUE	1	j	0	3	animate	3	45
Puhlin	menschlich	buhle	NN	Bamberg	1628	TRUE	1	n	0	3	animate	4	45
Puhlin	übermenschlich Teufel	buhle	NN	Bamberg	1628	TRUE	1	j	0	3	animate	3	45
